order_id,delivery_location_id,priority,items_count
ORD1001,LOC028,1,5
ORD1002,LOC006,2,1
ORD1003,LOC014,2,4
ORD1004,LOC013,3,1
ORD1005,LOC024,2,1
ORD1006,LOC023,3,3
ORD1007,LOC002,3,4
ORD1008,LOC021,3,4
ORD1009,LOC037,2,2
ORD1010,LOC020,2,1
ORD1011,LOC004,2,1
ORD1012,LOC038,3,4
ORD1013,LOC035,2,5
ORD1014,LOC027,1,3
ORD1015,LOC029,2,5
ORD1016,LOC037,1,2
ORD1017,LOC032,1,4
ORD1018,LOC004,1,1
ORD1019,LOC025,2,2
ORD1020,LOC007,3,3
ORD1021,LOC004,2,2
ORD1022,LOC017,3,5
ORD1023,LOC023,2,2
ORD1024,LOC033,3,5
ORD1025,LOC027,2,3
ORD1026,LOC031,2,2
ORD1027,LOC024,3,5
ORD1028,LOC023,2,2
ORD1029,LOC016,2,1
ORD1030,LOC025,3,5
ORD1031,LOC032,2,1
ORD1032,LOC002,2,2
ORD1033,LOC024,3,3
ORD1034,LOC030,1,1
ORD1035,LOC033,3,1
ORD1036,LOC010,2,2
ORD1037,LOC009,2,3
ORD1038,LOC016,3,2
ORD1039,LOC020,2,1
ORD1040,LOC030,3,5
ORD1041,LOC022,2,5
ORD1042,LOC040,2,3
ORD1043,LOC018,3,5
ORD1044,LOC009,2,5
ORD1045,LOC029,2,2
ORD1046,LOC032,2,5
ORD1047,LOC001,1,4
ORD1048,LOC039,2,3
ORD1049,LOC026,2,4
ORD1050,LOC027,2,4
ORD1051,LOC020,1,3
ORD1052,LOC034,2,3
ORD1053,LOC011,3,4
ORD1054,LOC002,1,1
ORD1055,LOC004,3,4
ORD1056,LOC034,1,2
ORD1057,LOC023,2,4
ORD1058,LOC018,3,3
ORD1059,LOC003,2,5
ORD1060,LOC035,2,2
ORD1061,LOC035,2,4
ORD1062,LOC014,1,3
ORD1063,LOC029,3,5
ORD1064,LOC019,2,2
ORD1065,LOC034,2,1
ORD1066,LOC014,2,1
ORD1067,LOC018,2,3
ORD1068,LOC029,2,5
ORD1069,LOC001,2,1
ORD1070,LOC032,2,4
ORD1071,LOC036,2,5
ORD1072,LOC030,2,1
ORD1073,LOC028,1,3
ORD1074,LOC040,3,5
ORD1075,LOC028,1,1
ORD1076,LOC036,2,4
ORD1077,LOC031,2,4
ORD1078,LOC025,2,2
ORD1079,LOC020,2,4
ORD1080,LOC010,2,3
